trade_date,ts_code,name,signal,direction,close,pct_chg,volume_ratio,turnover_rate_f,main_net_pct,winner_rate,rsi_6,bull_count
20260324,000415.SZ,渤海租赁,S4_一字涨停,LONG,4.29,10.0,0.98,3.3457,0.9617925218154346,35.42,43.731,2
20260324,605196.SH,华通线缆,S4_一字涨停,LONG,44.33,10.0,1.14,6.176,0.3420545638729433,26.44,40.005,2
20260324,002222.SZ,福晶科技,S4_一字涨停,LONG,64.79,10.0,1.86,7.2821,1.8970158634094112,57.86,59.568,4
20260324,000688.SZ,国城矿业,S4_一字涨停,LONG,35.86,10.0,1.46,11.8094,0.764183440802216,75.83,63.35,2
20260324,002519.SZ,银河电子,S4_一字涨停,LONG,7.92,10.0,1.55,11.4901,3.0085932101032866,65.69,44.815,3
20260324,603929.SH,亚翔集成,S4_一字涨停,LONG,191.18,10.0,0.48,4.6376,0.8736579495920496,99.65,73.421,4
20260324,601869.SH,长飞光纤,S4_一字涨停,LONG,233.31,10.0,1.29,18.126,0.5525750005207158,64.28,59.413,2
20260324,002428.SZ,云南锗业,S4_一字涨停,LONG,44.66,10.0,2.01,16.0313,1.723741274856594,81.31,59.671,4
20260324,603115.SH,海星股份,S4_一字涨停,LONG,35.21,9.9969,0.93,11.7458,0.484597518044901,100.13,73.63,5
20260324,600137.SH,浪莎股份,S4_一字涨停,LONG,21.69,9.9899,1.1,11.6069,0.48164495224114107,48.33,48.624,3
20260324,603759.SH,海天股份,S4_一字涨停,LONG,10.13,9.9891,1.08,3.0554,6.572586738261825,15.78,53.311,2
20260324,600184.SH,光电股份,S4_一字涨停,LONG,15.86,9.9861,1.74,6.2441,0.7579351006294885,14.84,41.316,3
20260324,000065.SZ,北方国际,S4_一字涨停,LONG,14.22,9.9768,1.56,9.3272,1.4560446221031544,99.46,72.442,5
20260324,000722.SZ,湖南发展,S4_一字涨停,LONG,15.11,9.9709,0.85,9.1938,3.9795378160848354,99.85,74.347,5
20260324,600758.SH,辽宁能源,S4_一字涨停,LONG,5.2,9.9366,1.28,19.108,-1.864786539342753,97.6,91.25,2
20260324,600076.SH,康欣新材,S4_一字涨停,LONG,3.45,9.8726,1.36,3.6436,0.422382979241641,12.91,47.484,2
20260324,301226.SZ,祥明智能,S5_机构龙虎榜净买入,LONG,42.96,20.0,1.28,33.862,1.1801837027281026,95.84,67.455,3
20260324,688551.SH,科威尔,S5_机构龙虎榜净买入,LONG,47.34,20.0,1.21,9.8874,1.5525972089388003,91.74,63.171,2
20260324,300335.SZ,迪森股份,S5_机构龙虎榜净买入,LONG,8.4,20.0,2.06,31.7598,1.791267351266404,93.17,70.909,6
20260324,300385.SZ,雪浪环境,S5_机构龙虎榜净买入,LONG,18.73,19.9872,1.62,13.4861,0.7534517107348275,99.27,90.839,5
20260324,300497.SZ,富祥药业,S5_机构龙虎榜净买入,LONG,17.0,19.9718,4.97,23.2453,0.8768270497459386,97.62,69.36,5
