ts_code,trade_date,ret_1d,ret_2d,ret_3d,ret_5d
000402.SZ,20240516,0.09265175718849838,0.04153354632587858,0.04792332268370614,0.04792332268370614
000656.SZ,20241219,-0.017045454545454586,-0.06818181818181823,-0.08522727272727271,-0.051136363636363646
000892.SZ,20260113,0.04645760743321725,-0.029036004645760727,-0.07897793263646924,-0.06852497096399535
000980.SZ,20250710,0.010050251256281229,-0.005025125628140725,-0.02010050251256279,0.0
001211.SZ,20241213,-0.004734242282372958,-0.04874693062495827,-0.05916130819869492,-0.006153081795859161
001226.SZ,20251212,0.033937703393770224,0.05880985588098553,0.018363551836355185,0.01789865178986516
001236.SZ,20240910,0.05569421134445207,0.008664094481362072,0.11014857157012736,0.2871289581410905
001239.SZ,20250702,0.007275132275132323,-0.012566137566137559,-0.006613756613756627,-0.004629629629629539
001288.SZ,20250923,0.055197421434327154,0.053182917002417396,0.04915390813859788,0.03545527800161152
001339.SZ,20260105,0.017880670054583048,0.006399397703745535,0.004893657067570167,0.0532655750047053
002011.SZ,20250121,-0.017985611510791255,-0.027877697841726556,0.017985611510791477,-0.0008992805755395628
002054.SZ,20251017,0.09944751381215466,0.07596685082872923,0.09668508287292821,0.16988950276243098
002074.SZ,20250521,-0.028142716246433164,-0.05253231744502074,-0.06379166258855762,-0.06528989708107769
002150.SZ,20250905,0.0011481056257174327,-0.09873708381171076,-0.09529276693455813,-0.07807118254879464
002200.SZ,20250507,0.050000000000000044,-0.0023255813953487747,0.04767441860465116,-0.04069767441860461
002300.SZ,20251107,0.058524173027989734,0.029262086513994756,0.04707379134860057,0.01908396946564883
002364.SZ,20251125,-0.011175496688741737,-0.026076158940397276,-0.01614238410596025,-0.028145695364238388
002536.SZ,20250808,0.07323943661971821,0.04460093896713602,0.14929577464788735,0.39061032863849765
002550.SZ,20250604,-0.0876803551609322,-0.05771365149833518,-0.06548279689234182,-0.027746947835738056
002660.SZ,20241226,-0.007690813750242831,0.020168964847543158,-0.00864245484560111,-0.11431442998640517
002727.SZ,20251219,-0.006433166547533897,-0.020729092208720545,-0.022158684774839177,-0.027877055039313814
002735.SZ,20250701,0.02217873450750152,-0.037834311806914545,-0.06066536203522499,0.023483365949119372
002759.SZ,20250910,0.014823261117445918,0.019954389965792574,-0.01425313568985176,0.016533637400228063
002760.SZ,20250311,-0.03347122978563377,-0.12410680707032717,-0.1891688604738624,-0.19932305377961645
002769.SZ,20250819,-0.006651884700665023,-0.008869179600886956,-0.0177383592017738,-0.005543237250554167
002786.SZ,20250429,-0.01465614430665152,0.02367531003382206,0.0383314543404738,0.043968432919955
002829.SZ,20250918,-0.006240998559769562,0.02496399423907847,0.05184829572731653,0.13730196831493058
002846.SZ,20241113,-0.06060606060606066,-0.09090909090909094,-0.04938271604938271,0.03591470258136931
002862.SZ,20251107,0.06307692307692303,0.04871794871794877,0.0887179487179488,0.07179487179487176
002865.SZ,20250124,-0.025958397799553112,-0.015128072889805777,0.00584493725287949,0.1342616468970259
002943.SZ,20250806,0.015434083601286064,0.026045016077170358,0.04983922829581977,0.07588424437299035
002976.SZ,20240927,0.08572691117984976,0.13566062748563845,0.022094564737074718,-0.009279717189571213
300017.SZ,20260127,0.15140324963072382,0.24076809453471215,0.223042836041359,0.42614475627769566
300049.SZ,20241031,-0.0321160321160322,0.01243201243201253,0.010619010619010716,0.005698005698005604
300071.SZ,20250116,-0.1344262295081966,-0.13278688524590154,-0.02786885245901638,-0.15573770491803263
300084.SZ,20250908,-0.004662004662004726,0.006993006993007089,0.0034965034965033226,0.0174825174825175
300150.SZ,20241111,-0.05870841487279854,-0.0606653620352251,-0.09197651663405104,-0.15068493150684936
300200.SZ,20241029,0.07364390555201039,0.0523194737617203,-0.045545137695743865,-0.033917824358156046
300210.SZ,20250627,-0.01191567369385893,0.007332722273143855,0.0036663611365719273,-0.010999083409715893
300211.SZ,20241028,-0.05191594561186652,-0.04944375772558707,-0.04202719406674904,-0.107540173053152
300223.SZ,20250915,-0.008971291866028741,-0.016387559808612284,-0.03528708133971281,-0.005622009569377973
300283.SZ,20250619,0.03140495867768611,0.0760330578512396,0.09917355371900838,0.11404958677685961
300283.SZ,20251029,-0.055696202531645644,-0.059493670886076044,-0.05063291139240511,0.0
300323.SZ,20260309,-0.0631938514090521,0.005123825789923098,0.1451750640478222,0.08027327070879586
300369.SZ,20250529,-0.022471910112359605,-0.016853932584269704,-0.001404494382022392,0.030898876404494402
300388.SZ,20241129,-0.06519406695655916,-0.08397810608071166,-0.0850827826962729,-0.038673889028769226
300411.SZ,20241021,-0.0006090133982948887,0.07490864799025565,0.08526187576126665,0.17174177831912285
300411.SZ,20250625,-0.011456628477905073,-0.01227495908346976,0.01227495908346965,0.00654664484451728
300424.SZ,20250123,-0.0006418485237483784,-0.05134788189987172,-0.02182284980744542,0.0224646983311938
300444.SZ,20251029,-0.034047919293820894,-0.030264817150063017,-0.015132408575031508,0.24716267339218168
300452.SZ,20241008,-0.09283071663986264,-0.07243565241848815,-0.12166362567701083,-0.13432039290067133
300456.SZ,20250729,-0.024201853759011405,-0.03913491246138012,-0.03759011328527295,0.02471678681771361
300485.SZ,20260113,-0.024671052631578982,-0.05427631578947367,-0.07154605263157898,-0.06496710526315796
300603.SZ,20250812,-0.02020202020202022,-0.05672105672105665,-0.04739704739704731,0.013209013209013243
300607.SZ,20251226,0.012380952380952381,0.07206349206349216,0.045714285714285596,0.037460317460317416
300640.SZ,20250729,-0.007633587786259555,-0.022900763358778553,-0.003053435114503733,0.022900763358778775
300648.SZ,20251218,-0.05101275318829701,0.03450862715678915,0.05626406601650413,0.0798949737434358
300672.SZ,20250121,-0.015351086752135479,-0.02962790568637541,0.00936477942831071,0.01074730200026508
300674.SZ,20250124,-0.050241298228836606,-0.00975544831189834,0.008784340016070091,0.18878443860574468
300684.SZ,20240930,0.15206768893635614,-0.0032261813191375444,0.0021470983736282534,0.015040756132788102
300687.SZ,20240703,-0.0686801413507,-0.05816314343723872,-0.10091259721373314,-0.08269577985260745
300701.SZ,20250220,-0.005228643105497088,0.03135425377404166,0.009577043263940821,-0.013071607763742832
300718.SZ,20251222,-0.03916386352715029,-0.03495915425276308,0.013334935127342629,0.01922152811148492
300720.SZ,20251210,-0.03834808259587008,-0.10914454277286134,-0.19115044247787605,-0.1551622418879055
300739.SZ,20241218,-0.07578761607603202,-0.026311453189532652,-0.06000074416231238,-0.07947121952256653
300748.SZ,20251009,0.009874381578679703,0.18764124437567453,0.08533705234440214,0.034692672598082064
300759.SZ,20241209,-0.016891017344033088,-0.0037160919383625313,-0.0074321838767251736,-0.0516880798942736
300854.SZ,20250731,0.016493585827733526,0.02199144777031159,0.05192425167990211,0.0629199755650578
300865.SZ,20250605,-0.014186737050478349,0.03959089409435834,-0.044869679973606025,0.04354998350379424
300876.SZ,20251211,0.055985705777248373,0.11465157832042894,0.06551518761167374,0.07504466944609889
300886.SZ,20251010,-0.013964577656675803,-0.02588555858310615,-0.0013623978201634523,-0.038828337874659447
300892.SZ,20240920,0.0018543242842308238,0.14057014290659153,0.07152128764278287,0.5431624882559463
300916.SZ,20250806,-0.046307015512850214,-0.024079648066682058,0.041907849039129585,0.004862236628849326
300952.SZ,20260119,0.007432818753573489,-0.011816275967219347,-0.03621116828663995,-0.07966457023060791
300961.SZ,20260317,-0.07746068724519517,-0.12696563774024472,-0.20675596971461863,-0.24635993011065827
300963.SZ,20251010,0.13854121709106582,0.046180405697021865,0.07854984894259798,-0.0772550712127753
300968.SZ,20250807,-0.014379084967320321,0.007189542483660105,0.00849673202614376,-0.02941176470588247
300980.SZ,20240830,-0.02562700114922034,-0.023187212310793348,-0.029283611624948414,-0.11470694878901655
300991.SZ,20241021,-0.033238402692923996,-0.03703721312800423,-0.07122175258761276,0.0019017824455971333
301003.SZ,20250226,0.20007250371959184,0.11513741720603887,0.017057255281065054,0.013503817773984572
301022.SZ,20250624,-0.007615700058582253,0.19097832454598707,0.11980082015231397,0.007322788517867496
301025.SZ,20250325,-0.024414586609168842,-0.06103270029282426,0.041315544173171403,0.0
301058.SZ,20240415,0.022564280119661495,0.05641281147805732,0.020513269814997237,0.08102915749183492
301089.SZ,20250516,0.01376389624139751,0.02276336686077296,0.03149814716781352,-0.08681842244573856
301098.SZ,20250609,-0.01575592312452867,0.017857557752708475,0.053571617160321994,-0.04201685109654618
301110.SZ,20241122,-0.03128466588072554,-0.009061525277000881,0.018338386848390176,0.10571706986031404
301110.SZ,20260112,-0.05969094030905975,-0.03928896071103927,-0.1819008180991819,-0.23209776790223213
301117.SZ,20251126,-0.050930460333006744,0.00019588638589618235,-0.039177277179236025,-0.07561214495592561
301128.SZ,20251217,-0.02945221178088475,-0.04079761631904655,0.007105202842081049,0.09225303690121467
301128.SZ,20251225,-0.04686774941995353,-0.06264501160092806,-0.04928074245939673,-0.07192575406032486
301137.SZ,20250723,-0.03283983849259753,-0.06594885598923272,-0.06298788694481816,-0.08802153432032289
301137.SZ,20250926,-0.014504431909750148,0.03196347031963476,0.23824872414719334,0.5041633091592803
301139.SZ,20241203,-0.032220706593761084,-0.023682666262499152,-0.02989285672647557,-0.0058215677816251254
301152.SZ,20250620,-0.014695591322603119,0.0713785864240728,0.05423372988103581,0.008047585724282769
301176.SZ,20250620,0.20000000000000018,0.1405737704918033,0.05778688524590159,0.02254098360655732
301178.SZ,20250821,-0.00865475070555033,0.043273753527751646,0.0711194731890874,0.025023518344308604
301193.SZ,20250826,-0.06870588235294117,-0.05411764705882349,-0.040000000000000036,0.17694117647058838
301199.SZ,20250825,-0.01739010860013812,0.02776044915782916,0.010034947913522219,-0.06053501834597763
301208.SZ,20250709,-0.09234530750423176,-0.033665600902764714,-0.07485424111340988,-0.11999247696069215
301237.SZ,20250717,0.13415384615384607,0.11938461538461542,0.0747692307692307,0.08307692307692327
301262.SZ,20260210,-0.11701828410689163,-0.1853727144866385,-0.20618846694796056,-0.22700421940928261
301283.SZ,20240930,0.07749670950472498,-0.03483858087224001,-0.03448365104482465,-0.03697185702243455
301288.SZ,20241205,-0.04864864864864871,-0.0491400491400491,-0.054545454545454675,-0.04668304668304679
301291.SZ,20250205,0.016739538897355688,0.03739221675772919,-0.005432696893668543,0.06826253524376158
301297.SZ,20241025,-0.0534574270249456,-0.0322486074464966,-0.03544429713058861,-0.22036548421772695
301300.SZ,20250221,-0.05352487875571654,-0.09242527653919363,-0.08686893590664868,-0.14478055761847075
301311.SZ,20240905,-0.058164043230638174,-0.01733822144490782,-0.03579756939773082,-0.004473294766581537
301311.SZ,20250513,-0.011478271307322485,-0.03892609393677193,-0.05539078637411654,-0.06237777766663499
301329.SZ,20240930,0.14088485447499144,-0.018888339792441644,-0.014295003511327398,-0.02960959242593708
301336.SZ,20250805,-0.004696468951121968,-0.009914767785701883,-0.006435901895981977,-0.0017394329448600088
301348.SZ,20241111,-0.008149212418781304,-0.027272144475995574,-0.06489201633613528,-0.14169296965445988
301348.SZ,20250321,0.020475420199315808,0.03245388963260454,0.07534768704447403,-0.017389000446229264
301376.SZ,20250904,0.01473019458848901,0.0050777840529856455,0.020824562304256222,0.010663859937362075
301381.SZ,20241129,-0.02516369462245749,-0.048258567846196754,-0.07342226246865424,-0.06652619113959324
301396.SZ,20251113,-0.08073280546498984,-0.05294208973761838,-0.035553485483620584,-0.05418413289861812
301408.SZ,20250214,-0.06351428848058749,-0.1225971743291453,-0.11004773998465767,-0.09232212945653873
301413.SZ,20250709,-0.02943956785955426,0.024713031735313917,0.03160027008777866,0.06536124240378127
301419.SZ,20250407,0.024099805767219484,0.061681358633397965,0.10089645898700139,0.12009562229194692
301428.SZ,20241108,0.04210056139920648,0.019743852488928182,0.018581934214406015,0.02816338089023951
301468.SZ,20250722,-0.04908424908424913,-0.06373626373626384,-0.045787545787545736,-0.06153846153846154
301512.SZ,20250127,0.19999865396306915,0.1322212077092022,0.09555516171512024,0.07177741933312842
301512.SZ,20250206,-0.032384171701100306,-0.04337505523181506,-0.05338514061078958,-0.049067647332724396
301518.SZ,20241129,-0.003168213500316819,-0.006336427000633638,-0.03380670170338074,-0.026937801845550946
301518.SZ,20250327,-0.09439762437524846,-0.1348574834270896,-0.10477529852150824,-0.03630878939333748
301522.SZ,20251226,0.0020100502512563345,-0.026130653266331683,-0.015829145728643135,-0.014321608040200995
301528.SZ,20250616,0.01210395158419364,-0.01655393378426484,-0.09024563901744398,-0.10217159131363474
301538.SZ,20250716,-0.00519031141868509,-0.02076124567474036,0.11799307958477523,0.16193771626297582
301551.SZ,20260130,-0.04490861618798958,-0.04099216710182774,-0.07336814621409915,-0.1052219321148824
301555.SZ,20250731,-0.0008953761932090076,-0.01940682829508944,0.012838733132825242,0.028366599463375275
301556.SZ,20251224,-0.0025176233635447742,-0.005135951661631277,0.002014098690835908,-0.012688821752265822
301565.SZ,20250818,-0.005742411812961423,-0.009023789991796538,-0.008203445447087732,-0.015176374077112254
301606.SZ,20260128,-0.01594354417145838,-0.04404077365394654,-0.09095661265028743,-0.15054887611082068
301618.SZ,20251226,0.0054989816700610206,-0.01160896130346234,-0.025661914460285096,0.004073319755600657
301622.SZ,20260107,0.002238471869870029,0.02790628264438122,0.028055514102372614,0.01044620205939406
600228.SH,20240430,0.00877192982456143,0.11052631578947358,0.056140350877192935,0.10877192982456152
600318.SH,20240118,-0.07098089422475495,-0.019832727713938403,-0.021920493365382154,0.029227673145434396
600528.SH,20251022,-0.015945330296127436,-0.028473804100227817,-0.023917995444191265,-0.029612756264236872
600540.SH,20260302,-0.011070110701106972,-0.01291512915129156,-0.05166051660516613,-0.005535055350553542
600613.SH,20260318,-0.011494252873563315,-0.044334975369458074,-0.1050903119868637,
600619.SH,20241107,0.09982145179789748,0.16892906551891307,0.20909649879982495,-0.020674935852715626
600666.SH,20250313,-0.020771513353115778,-0.014836795252225587,-0.03264094955489627,-0.03857566765578635
600693.SH,20251211,-0.0013404825737265424,0.09852546916890081,0.17895442359249336,0.15348525469168917
600787.SH,20241119,-0.029829214813452465,-0.08664840896485726,-0.011364126202292657,0.001419617737750123
600794.SH,20250423,0.0299825354792449,-0.07231092526463012,-0.1657851579971178,-0.2980611542202376
600866.SH,20240510,0.021223528357322774,-0.01997574453902007,-0.061173617004590564,-0.10486845753753848
600935.SH,20241122,-0.020408163265306145,-0.07823129251700678,-0.1054421768707483,-0.09523809523809512
603038.SH,20251014,0.02206619859578729,0.01354062186559668,0.03961885656970909,0.07071213640922758
603052.SH,20251224,-0.027377097438916698,-0.0482778922578746,-0.046806005298792974,-0.07123932881954664
603079.SH,20250407,0.054508748317631195,0.019515477792732216,0.1218034993270527,0.15275908479138622
603150.SH,20260130,-0.03710057902637798,0.009221531203088107,0.041389663306883984,0.07377224962470508
603159.SH,20241210,0.04294448309618937,0.046626318349453966,0.15153399540694124,-0.02699807288556144
603178.SH,20240620,-0.007906853072477071,-0.057675711733396806,0.03713655298524521,-0.02018929799273228
603266.SH,20250423,-0.02141568641244529,-0.02340550617296344,0.01394381271575229,0.0009999346776341511
603276.SH,20250311,-0.009910252652193141,-0.010527694447389546,-0.0043345661379950995,-0.011145136242585951
