,dt,hour,no_click_percent,click_eq_imp_percent,click_lt_imp_percent
0,2022-12-17,0,0.9573766386458318,0.0122114529591657,0.02941657098835519
1,2022-12-17,1,0.9551525975339218,0.01261041502671118,0.031191564431971276
2,2022-12-17,2,0.9560880079200637,0.013308303624078291,0.02953794219002743
3,2022-12-17,3,0.9565696099092512,0.013272547417315384,0.02916003612747839
4,2022-12-17,4,0.9572509619995555,0.011333465888489923,0.030175791529725493
5,2022-12-17,5,0.9581248911122726,0.011125214664376912,0.029791682222056297
6,2022-12-17,6,0.9553371192939304,0.011131809303335021,0.03285285393908703
7,2022-12-17,7,0.9568744682751198,0.01044883455306908,0.032112657519823645
8,2022-12-17,8,0.9572595254791959,0.01132976858345021,0.03073501051893408
9,2022-12-17,9,0.9577894945681253,0.01153409125068387,0.02987080134429127
10,2022-12-17,10,0.957946518881241,0.011816447796601574,0.029366436667615212
11,2022-12-17,11,0.9596868138652237,0.011745822127024517,0.02775675196882096
12,2022-12-17,12,0.9595845680404647,0.011679486880345537,0.027823363640370323
13,2022-12-17,13,0.9578977719660774,0.011604290653588655,0.029554519678985054
14,2022-12-17,14,0.959027529669678,0.011464417045208739,0.02865739694298415
15,2022-12-17,15,0.9599096388288608,0.011648475896089212,0.02754146492691778
16,2022-12-17,16,0.9603931115000343,0.011264546913174267,0.027538992237967966
17,2022-12-17,17,0.9586396395963248,0.011269826769684936,0.029229911197226777
18,2022-12-17,18,0.9590086212123049,0.01185143868753865,0.028356634453322985
19,2022-12-17,19,0.9593670404176826,0.010890748076103804,0.028969480525366423
20,2022-12-17,20,0.9581685599980007,0.011113909400779377,0.029838953089343836
21,2022-12-17,21,0.957759907220144,0.011183032101189809,0.030247727195917402
22,2022-12-17,22,0.9572964273367706,0.011744020060771168,0.029945597067633976
23,2022-12-17,23,0.9558065617694187,0.012281208682480059,0.0309648270246132
24,2022-12-18,0,0.9552481599001772,0.012655829566375645,0.031037689990545923
25,2022-12-18,1,0.9556792749898868,0.012691751380202497,0.030718054532913864
26,2022-12-18,2,0.956529928052134,0.012732135457867179,0.029782084604663427
27,2022-12-18,3,0.9525454090036206,0.013882669055082848,0.032243618450515
28,2022-12-18,4,0.9548353076791014,0.012410173399063106,0.03177347754641552
29,2022-12-18,5,0.957432617992075,0.011769783043665894,0.02985601632076582
30,2022-12-18,6,0.9574761032143034,0.01088603833391115,0.031102966668317567
31,2022-12-18,7,0.9547868695175439,0.010245339912280702,0.03430532711988304
32,2022-12-18,8,0.9563747579492191,0.010898166748104312,0.031992326764029896
33,2022-12-18,9,0.9567709396227515,0.011052155913821754,0.03128771755925483
34,2022-12-18,10,0.9585137494049103,0.011390456902914113,0.02922425497293444
35,2022-12-18,11,0.9571760099478487,0.011889177967669492,0.029820128469628383
36,2022-12-18,12,0.9579376608373673,0.011047937617731875,0.030063925444740916
37,2022-12-18,13,0.9587973006857304,0.011056722666172447,0.029308709540266226
38,2022-12-18,14,0.9598328046594031,0.011249615429498944,0.02805189845217004
39,2022-12-18,15,0.9606324830817282,0.010640039629897064,0.027812295343487094
40,2022-12-18,16,0.9592699094429408,0.011333175867919744,0.028551802148319417
41,2022-12-18,17,0.9599612924130503,0.011303578700318331,0.027940397321995453
42,2022-12-18,18,0.9595056308055221,0.01107272826483884,0.028498214008386397
43,2022-12-18,19,0.9599019329313846,0.011187221818870545,0.0280501278449446
44,2022-12-18,20,0.9598251665676684,0.010942297095174369,0.02837554478899043
45,2022-12-18,21,0.9588478866141932,0.011355695041114082,0.028996163530882704
46,2022-12-18,22,0.9582372897042194,0.010929451676437328,0.029952597588521618
47,2022-12-18,23,0.9554689031526766,0.012377405073241553,0.031097817795746614
48,2022-12-19,0,0.9541700341866305,0.012710857172493376,0.03197595266599532
49,2022-12-19,1,0.9543899564605363,0.01341784790650473,0.03080908108815923
50,2022-12-19,2,0.9546521749089493,0.013021966694917196,0.031363813363263625
51,2022-12-19,3,0.9562152351824155,0.013023677886635186,0.029685583208698137
52,2022-12-19,4,0.9616992616878248,0.01157663324565082,0.025732911440661813
53,2022-12-19,5,0.9590202872631756,0.011512882132677583,0.02864248588833622
54,2022-12-19,6,0.9593946327853716,0.01109973705867004,0.028933582224363222
55,2022-12-19,7,0.9569928733616601,0.010830466940941075,0.03157527933274881
56,2022-12-19,8,0.9609948119587379,0.010372045137977673,0.028011385429073218
57,2022-12-19,9,0.9601588053021174,0.01091696792333735,0.028189017042520227
58,2022-12-19,10,0.9624874008501687,0.010839964190242466,0.025996506670506406
59,2022-12-19,11,0.962202515554143,0.011392111085306376,0.025616970822994464
60,2022-12-19,12,0.9605271962719386,0.011426690114266901,0.02723508360568417
61,2022-12-19,13,0.9612012970914608,0.011242946817266786,0.026757469679991274
62,2022-12-19,14,0.9622195379589601,0.011201365388001018,0.025642593063515972
63,2022-12-19,15,0.9621113156143921,0.011285991093585341,0.025854826412327177
64,2022-12-19,16,0.9627480227722914,0.01133818387618166,0.02499292562554257
65,2022-12-19,17,0.9622966238575481,0.010978864639142768,0.025879983454144342
66,2022-12-19,18,0.9624930294899462,0.010815230845788561,0.025804015513917263
67,2022-12-19,19,0.9595631094798224,0.011540005432287498,0.027957051277428844
68,2022-12-19,20,0.9593706962509564,0.011407804131599081,0.028385615914307574
69,2022-12-19,21,0.9597983037760209,0.010921043993660262,0.028503815409816592
70,2022-12-19,22,0.957815071634784,0.011531416477049588,0.02987855513285187
71,2022-12-19,23,0.9565032832481554,0.011972937147060402,0.030641095386595766
72,2022-12-20,0,0.9560420023334629,0.012278459914439691,0.030732818489916106
73,2022-12-20,1,0.9549270323436571,0.013232535797611968,0.03075773518154231
74,2022-12-20,2,0.9528374060573331,0.013963625142239967,0.03188103917144015
75,2022-12-20,3,0.9558385495359378,0.013759982732570689,0.029052449816533564
76,2022-12-20,4,0.9569204242645907,0.011938972778097079,0.030004179946705678
77,2022-12-20,5,0.9581619008434479,0.010980250977165193,0.030227833779057807
78,2022-12-20,6,0.9573238126287164,0.010440438609743878,0.03179045968145928
79,2022-12-20,7,0.9593140345346923,0.010363034569717348,0.029740639557283458
80,2022-12-20,8,0.9597524327418432,0.01145892959358901,0.02805881511161992
