ts_code,trade_date,ret_1d,ret_2d,ret_3d,ret_5d
000004.SZ,20230703,0.06941431670281983,0.17642805495300062,0.29428778018799706,0.10484454085321748
000004.SZ,20230711,-0.061273051754907715,0.03271861986912561,0.13622843545508645,0.3242117787031531
000004.SZ,20230721,-0.025405405405405368,-0.0470270270270271,0.04810810810810806,-0.001621621621621716
000004.SZ,20231121,-0.017344173441734445,0.013008130081300973,-0.02276422764227637,-0.03360433604336044
000004.SZ,20240702,-0.06153846153846165,-0.03167420814479649,-0.05972850678733033,-0.09592760180995474
000004.SZ,20241008,-0.09927495817066379,-0.158393753485778,-0.07417735638594525,0.030674846625766916
000004.SZ,20241022,-0.05288461538461531,-0.023601398601398538,-0.054195804195804165,-0.07342657342657344
000007.SZ,20250425,-0.06564245810055858,-0.04748603351955305,-0.06145251396648055,-0.05307262569832405
000008.SZ,20240325,-0.004081632653061273,-0.03673469387755113,-0.01632653061224487,0.012244897959183598
000008.SZ,20241212,-0.02786377708978327,-0.015479876160990669,-0.07120743034055732,-0.07430340557275539
000016.SZ,20241113,0.02763385146804831,-0.07426597582037997,-0.14507772020725385,-0.07599309153713307
000016.SZ,20241127,0.028169014084507227,0.012072434607645954,0.05633802816901423,0.026156941649899457
000017.SZ,20240423,0.02026049204052094,0.005788712011577379,0.0347322720694645,0.03039073806078152
000020.SZ,20240423,0.032484635645302795,0.056189640035118504,0.05882352941176472,0.056189640035118504
000021.SZ,20230411,-0.03129471660030825,-0.07090389665162111,-0.0513428159722048,-0.03178675610405146
000021.SZ,20230421,-0.02352982625676958,-0.07107769120814977,-0.1637273258037889,-0.1269603994282379
000021.SZ,20230525,0.08037747780094007,0.04645056187602825,0.10803989132240499,0.1591955285707396
000021.SZ,20241104,0.026235579690198074,0.022276719801806788,0.03217637196266354,0.158909937188759
000021.SZ,20251013,-0.08091748964638412,-0.06021025804396307,-0.03026441541892322,-0.1322077094616121
000021.SZ,20260306,-0.03829524397776407,0.0009264978381715583,-0.009573810994441101,-0.04508956145768994
000026.SZ,20230216,0.0,0.02202792135645626,0.024665475097821465,0.018501521665619913
000026.SZ,20250818,-0.037506335529650325,-0.03091738469336036,-0.038520020273694944,-0.01368474404460207
000029.SZ,20241031,-0.059312638580931276,-0.07427937915742788,-0.02328159645232808,0.03381374722838126
000032.SZ,20240418,-0.02556275053962387,-0.02313290163428927,-0.03408572309589886,-0.02313290163428927
000034.SZ,20230221,-0.016424248529605445,-0.0563631855060559,0.00821406154346871,-0.005970692848342063
000034.SZ,20240624,-0.028251511163651655,0.013329467133584627,-0.015042491022238091,0.007119755537215999
000034.SZ,20250307,-0.03617091765783753,-0.020524188930517218,-0.010364347299707255,-0.024587716571503382
000037.SZ,20230825,0.0,0.023887079261671884,0.023887079261671884,0.004343105320304019
000042.SZ,20240321,-0.027368421052631597,-0.03578947368421048,0.025263157894736876,-0.054736842105263084
000048.SZ,20250331,0.05642246796432948,0.021876259027414635,0.0247566130884731,-0.014967017240031466
